0.047262,2.4591,-1.2414
0.078807,2.427,-1.2332
0.11041,2.3947,-1.2249
0.14209,2.362,-1.2165
0.17386,2.3289,-1.2079
0.20577,2.2955,-1.1991
0.23781,2.2617,-1.1902
0.27003,2.2274,-1.1811
0.30244,2.1926,-1.1718
0.33507,2.1574,-1.1623
0.36793,2.1216,-1.1525
0.40107,2.0853,-1.1426
0.43449,2.0484,-1.1324
0.46823,2.0109,-1.122
0.50231,1.9727,-1.1113
0.53676,1.9339,-1.1003
0.57161,1.8943,-1.0891
0.60689,1.8539,-1.0775
0.64262,1.8128,-1.0657
0.67883,1.7708,-1.0535
0.71557,1.7279,-1.041
0.75285,1.684,-1.0281
0.79072,1.6392,-1.0148
0.8292,1.5933,-1.0011
0.86834,1.5463,-0.98706
0.90817,1.4982,-0.97253
0.94872,1.4489,-0.95753
0.99005,1.3983,-0.94206
1.0322,1.3464,-0.92606
1.0752,1.2931,-0.90954
1.1191,1.2383,-0.89244
1.1639,1.182,-0.87475
1.2098,1.124,-0.85644
1.2567,1.0643,-0.83747
1.3047,1.0029,-0.8178
1.3539,0.93954,-0.7974
1.4043,0.87421,-0.77623
1.456,0.80679,-0.75425
1.5091,0.73717,-0.73142
1.5636,0.66524,-0.70768
1.6196,0.59087,-0.68299
1.6771,0.51393,-0.65729
1.7364,0.43429,-0.63053
1.7974,0.35179,-0.60265
1.8603,0.26629,-0.57358
1.9251,0.17761,-0.54325
1.992,0.085581,-0.51159
2.061,-0.0099885,-0.47852
2.1324,-0.1093,-0.44396
2.2061,-0.21256,-0.40782
2.2825,-0.32001,-0.36999
2.3615,-0.43189,-0.33039
2.4433,-0.54846,-0.28889
2.5282,-0.67001,-0.24538
2.6163,-0.79682,-0.19972
2.7077,-0.92924,-0.15179
2.8027,-1.0676,-0.10142
2.9016,-1.2123,-0.048468
3.0044,-1.3637,0.0072484
3.1116,-1.5222,0.065916
3.2232,-1.6884,0.12774
3.3397,-1.8627,0.19293
3.4614,-2.0457,0.26174
3.5886,-2.238,0.33442
3.7216,-2.4402,0.41125
3.8609,-2.653,0.49254
4.0068,-2.8772,0.57862
4.1599,-3.1135,0.66987
4.3206,-3.363,0.76667
4.4896,-3.6266,0.86947
4.6674,-3.9054,0.97875
4.8546,-4.2005,1.095
5.0521,-4.5133,1.2189
5.2605,-4.8451,1.351
5.4809,-5.1977,1.492
5.714,-5.5726,1.6427
5.9611,-5.9718,1.804
6.2232,-6.3975,1.9768
6.5017,-6.852,2.1623
6.798,-7.338,2.3615
7.1137,-7.8583,2.5759
7.4506,-8.4163,2.8069
7.8108,-9.0156,3.0562
8.1964,-9.6604,3.3258
8.6101,-10.355,3.6177
9.0546,-11.106,3.9343
9.5332,-11.917,4.2785
10.05,-12.797,4.6534
10.608,-13.753,5.0625
11.213,-14.794,5.5101
11.87,-15.93,6.0008
12.586,-17.173,6.5402
13.368,-18.536,7.1346
14.224,-20.036,7.7916
15.164,-21.691,8.5199
16.201,-23.524,9.3299
17.347,-25.559,10.234
18.619,-27.829,11.246
20.037,-30.37,12.385
21.624,-33.227,13.67
23.409,-36.454,15.129
25.426,-40.117,16.792
27.719,-44.299,18.699
30.34,-49.102,20.899
33.357,-54.654,23.453
36.855,-61.118,26.44
40.944,-68.707,29.961
45.766,-77.697,34.15
51.512,-88.453,39.184
58.436,-101.47,45.303
66.89,-117.43,52.838
77.367,-137.3,62.255
90.58,-162.46,74.232
107.59,-194.98,89.78
130.02,-238.06,110.46
160.51,-296.84,138.79
203.48,-380.05,179.07
266.98,-503.5,239.08
366.79,-698.36,334.18
537.7,-1033.4,498.38
871.52,-1690.6,821.86
877.51,-1702.4,827.68
883.56,-1714.4,833.56
889.67,-1726.4,839.51
895.85,-1738.6,845.51
902.09,-1750.9,851.59
908.4,-1763.4,857.73
914.78,-1775.9,863.93
